datetime,PCO2_Corr_filtered,phcalc,pH_calc_norm4
2016-09-19T21:00:00Z,236.60446666666667,NA,NA
2016-09-19T20:00:00Z,240.58271755,NA,NA
2016-09-19T19:00:00Z,241.85045873333334,NA,NA
2016-09-19T18:00:00Z,241.80878333333334,NA,NA
2016-09-19T17:00:00Z,236.96543333333332,NA,NA
2016-09-19T16:00:00Z,233.50404181666667,NA,NA
2016-09-19T15:00:00Z,235.90554326666665,NA,NA
2016-09-19T14:00:00Z,235.87340833333334,NA,NA
2016-09-19T13:00:00Z,237.90469498333334,NA,NA
2016-09-19T12:00:00Z,NaN,NA,NA
2016-09-19T11:00:00Z,240.50353726666665,NA,NA
2016-09-19T10:00:00Z,247.95992307692308,NA,NA
2016-09-19T09:00:00Z,NaN,NA,NA
2016-09-19T08:00:00Z,358.157625,NA,NA
2016-09-19T07:00:00Z,NaN,NA,NA
2016-09-19T06:00:00Z,230.3192968596491,NA,NA
2016-09-19T05:00:00Z,230.1375576,NA,NA
2016-09-19T04:00:00Z,231.97706687878787,NA,NA
2016-09-19T03:00:00Z,229.16458955,NA,NA
2016-09-19T02:00:00Z,231.69019413333334,NA,NA
2016-09-19T01:00:00Z,232.47407256666668,NA,NA
2016-09-19T00:00:00Z,NaN,NA,NA
2016-09-18T23:00:00Z,233.18879545000001,NA,NA
2016-09-18T22:00:00Z,234.7004294,NA,NA
2016-09-18T21:00:00Z,235.24758948333334,NA,NA
2016-09-18T20:00:00Z,235.67651193333333,NA,NA
2016-09-18T19:00:00Z,235.6906245,NA,NA
2016-09-18T18:00:00Z,235.30767691666665,NA,NA
2016-09-18T17:00:00Z,234.99239781666665,NA,NA
2016-09-18T16:00:00Z,234.99477326666667,NA,NA
2016-09-18T15:00:00Z,234.30239106666667,NA,NA
2016-09-18T14:00:00Z,236.37457995,NA,NA
2016-09-18T13:00:00Z,237.05925478333333,NA,NA
2016-09-18T12:00:00Z,NaN,NA,NA
2016-09-18T11:00:00Z,237.52324338333332,NA,NA
2016-09-18T10:00:00Z,236.47538325641025,NA,NA
2016-09-18T09:00:00Z,237.97359658333335,NA,NA
2016-09-18T08:00:00Z,239.24413288333332,NA,NA
2016-09-18T07:00:00Z,238.35793178333333,NA,NA
2016-09-18T06:00:00Z,238.9451408,NA,NA
2016-09-18T05:00:00Z,238.7408131,NA,NA
2016-09-18T04:00:00Z,238.1332992,NA,NA
2016-09-18T03:00:00Z,238.88808333333333,NA,NA
2016-09-18T02:00:00Z,236.89620833333333,NA,NA
2016-09-18T01:00:00Z,235.81805,NA,NA
2016-09-18T00:00:00Z,NaN,NA,NA
2016-09-17T23:00:00Z,NaN,NA,NA
2016-09-17T22:00:00Z,NaN,NA,NA
2016-09-17T21:00:00Z,NaN,NA,NA
2016-09-17T20:00:00Z,NaN,NA,NA
2016-09-17T19:00:00Z,NaN,NA,NA
2016-09-17T18:00:00Z,NaN,NA,NA
2016-09-17T17:00:00Z,NaN,NA,NA
2016-09-17T16:00:00Z,NaN,NA,NA
2016-09-17T15:00:00Z,NaN,NA,NA
2016-09-17T14:00:00Z,NaN,NA,NA
2016-09-17T13:00:00Z,NaN,NA,NA
2016-09-17T12:00:00Z,NaN,NA,NA
2016-09-17T11:00:00Z,NaN,NA,NA
2016-09-17T10:00:00Z,NaN,NA,NA
2016-09-17T09:00:00Z,NaN,NA,NA
2016-09-17T08:00:00Z,NaN,NA,NA
2016-09-17T07:00:00Z,NaN,NA,NA
2016-09-17T06:00:00Z,NaN,NA,NA
2016-09-17T05:00:00Z,NaN,NA,NA
2016-09-17T04:00:00Z,NaN,NA,NA
2016-09-17T03:00:00Z,NaN,NA,NA
2016-09-17T02:00:00Z,NaN,NA,NA
2016-09-17T01:00:00Z,NaN,NA,NA
2016-09-17T00:00:00Z,NaN,NA,NA
2016-09-16T23:00:00Z,NaN,NA,NA
2016-09-16T22:00:00Z,NaN,NA,NA
2016-09-16T21:00:00Z,NaN,NA,NA
2016-09-16T20:00:00Z,NaN,NA,NA
2016-09-16T19:00:00Z,NaN,NA,NA
2016-09-16T18:00:00Z,NaN,NA,NA
2016-09-16T17:00:00Z,NaN,NA,NA
2016-09-16T16:00:00Z,NaN,NA,NA
2016-09-16T15:00:00Z,NaN,NA,NA
2016-09-16T14:00:00Z,NaN,NA,NA
2016-09-16T13:00:00Z,NaN,NA,NA
2016-09-16T12:00:00Z,NaN,NA,NA
2016-09-16T11:00:00Z,NaN,NA,NA
2016-09-16T10:00:00Z,NaN,NA,NA
2016-09-16T09:00:00Z,NaN,NA,NA
2016-09-16T08:00:00Z,NaN,NA,NA
2016-09-16T07:00:00Z,NaN,NA,NA
2016-09-16T06:00:00Z,NaN,NA,NA
2016-09-16T05:00:00Z,NaN,NA,NA
2016-09-16T04:00:00Z,NaN,NA,NA
2016-09-16T03:00:00Z,NaN,NA,NA
2016-09-16T02:00:00Z,NaN,NA,NA
2016-09-16T01:00:00Z,NaN,NA,NA
2016-09-16T00:00:00Z,NaN,NA,NA
2016-09-15T23:00:00Z,NaN,NA,NA
2016-09-15T22:00:00Z,NaN,NA,NA
2016-09-15T21:00:00Z,NaN,NA,NA
2016-09-15T20:00:00Z,NaN,NA,NA
2016-09-15T19:00:00Z,NaN,NA,NA
2016-09-15T18:00:00Z,NaN,NA,NA
2016-09-15T17:00:00Z,NaN,NA,NA
2016-09-15T16:00:00Z,NaN,NA,NA
2016-09-15T15:00:00Z,NaN,NA,NA
2016-09-15T14:00:00Z,NaN,NA,NA
2016-09-15T13:00:00Z,NaN,NA,NA
2016-09-15T12:00:00Z,NaN,NA,NA
2016-09-15T11:00:00Z,NaN,NA,NA
2016-09-15T10:00:00Z,NaN,NA,NA
2016-09-15T09:00:00Z,NaN,NA,NA
2016-09-15T08:00:00Z,NaN,NA,NA
2016-09-15T07:00:00Z,NaN,NA,NA
2016-09-15T06:00:00Z,NaN,NA,NA
2016-09-15T05:00:00Z,NaN,NA,NA
2016-09-15T04:00:00Z,NaN,NA,NA
2016-09-15T03:00:00Z,NaN,NA,NA
2016-09-15T02:00:00Z,NaN,NA,NA
2016-09-15T01:00:00Z,NaN,NA,NA
2016-09-15T00:00:00Z,NaN,NA,NA
2016-09-14T23:00:00Z,NaN,NA,NA
2016-09-14T22:00:00Z,NaN,NA,NA
2016-09-14T21:00:00Z,NaN,NA,NA
2016-09-14T20:00:00Z,NaN,NA,NA
2016-09-14T19:00:00Z,NaN,NA,NA
2016-09-14T18:00:00Z,NaN,NA,NA
2016-09-14T17:00:00Z,NaN,NA,NA
2016-09-14T16:00:00Z,NaN,NA,NA
2016-09-14T15:00:00Z,NaN,NA,NA
2016-09-14T14:00:00Z,NaN,NA,NA
